ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,in,out
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.1,192.168.250.27,53,61625,UDP,......,0,0,2,888,0,1
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.1,192.168.250.27,53,61628,UDP,......,0,0,2,760,0,1
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.27,192.168.250.1,61633,53,UDP,......,0,0,2,152,1,0
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.27,192.168.250.1,61634,53,UDP,......,0,0,2,152,1,0
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.1,192.168.250.27,53,61627,UDP,......,0,0,2,760,0,1
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.1,192.168.250.27,53,61630,UDP,......,0,0,2,596,0,1
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.27,192.168.250.1,61635,53,UDP,......,0,0,2,160,1,0
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.27,192.168.250.1,61636,53,UDP,......,0,0,2,160,1,0
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.1,192.168.250.27,53,61629,UDP,......,0,0,2,596,0,1
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.1,192.168.250.27,53,61632,UDP,......,0,0,2,700,0,1
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.1,192.168.250.27,53,61631,UDP,......,0,0,2,700,0,1
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.1,192.168.250.27,53,61634,UDP,......,0,0,2,884,0,1
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.1,192.168.250.27,53,61633,UDP,......,0,0,2,884,0,1
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.1,192.168.250.27,53,61636,UDP,......,0,0,2,772,0,1
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.1,192.168.250.27,53,61635,UDP,......,0,0,2,772,0,1
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.27,81.19.104.45,50297,443,TCP,....S.,0,0,5,224,1,4
2020-02-25 11:30:03,2020-02-25 11:30:03,0,81.19.104.45,217.15.20.194,443,50297,TCP,.A..S.,0,0,3,136,4,1
2020-02-25 11:30:07,2020-02-25 11:30:07,0,192.168.250.3,192.168.250.1,25727,53,UDP,......,0,0,2,142,1,0
2020-02-25 11:30:07,2020-02-25 11:30:07,0,192.168.250.1,192.168.250.3,53,25727,UDP,......,0,0,2,322,0,1
2020-02-25 11:30:07,2020-02-25 11:30:07,0,192.168.250.3,192.168.250.1,30193,53,UDP,......,0,0,2,124,1,0
2020-02-25 11:30:07,2020-02-25 11:30:07,0,192.168.250.1,192.168.250.3,53,30193,UDP,......,0,0,2,124,0,1
2020-02-25 11:30:07,2020-02-25 11:30:07,0,192.168.250.3,192.168.250.1,60435,53,UDP,......,0,0,2,140,1,0
2020-02-25 11:30:07,2020-02-25 11:30:07,0,192.168.250.1,192.168.250.3,53,60435,UDP,......,0,0,2,140,0,1
2020-02-25 11:30:08,2020-02-25 11:30:08,0,23.226.231.226,217.15.20.194,56019,80,TCP,..P.S.,0,0,2,80,4,1
2020-02-25 11:28:03,2020-02-25 11:30:09,125.8,13.94.251.244,217.15.20.194,443,58679,TCP,.A..S.,0,0,16,7397,4,1
2020-02-25 11:21:32,2020-02-25 11:30:10,518.32,23.226.231.226,217.15.20.194,43635,80,TCP,..P.S.,0,0,3,120,4,1
2020-02-25 11:30:11,2020-02-25 11:30:11,0,192.168.250.27,192.168.250.1,65421,53,UDP,......,0,0,2,120,1,0
2020-02-25 11:30:11,2020-02-25 11:30:11,0,192.168.250.27,192.168.250.1,49774,53,UDP,......,0,0,2,140,1,0
2020-02-25 11:30:11,2020-02-25 11:30:11,0,192.168.250.1,192.168.250.27,53,65421,UDP,......,0,0,2,458,0,1
2020-02-25 11:30:11,2020-02-25 11:30:11,0,192.168.250.1,192.168.250.27,53,49774,UDP,......,0,0,2,540,0,1
2020-02-25 11:30:13,2020-02-25 11:30:13,0,192.168.250.27,192.168.250.1,59375,53,UDP,......,0,0,2,154,1,0
2020-02-25 11:30:13,2020-02-25 11:30:13,0,192.168.250.1,192.168.250.27,53,59375,UDP,......,0,0,2,740,0,1
2020-02-25 11:29:43,2020-02-25 11:30:14,31.46,192.168.250.3,23.226.231.226,80,16066,TCP,.A..S.,0,0,7,308,1,4
2020-02-25 11:27:17,2020-02-25 11:30:17,180.02,68.232.34.200,217.15.20.194,443,50291,TCP,.A..S.,0,0,25,11442,4,1
2020-02-25 11:27:17,2020-02-25 11:30:17,180.06,192.168.250.27,68.232.34.200,50291,443,TCP,....S.,0,0,20,2713,1,4
2020-02-25 11:30:07,2020-02-25 11:30:18,11.09,92.118.38.58,217.15.20.194,38220,25,TCP,....S.,0,0,18,1027,4,1
2020-02-25 11:30:07,2020-02-25 11:30:18,11.09,192.168.250.3,92.118.38.58,25,38220,TCP,.A..S.,0,0,12,972,1,4
2020-02-25 11:21:19,2020-02-25 11:30:20,541.69,192.168.250.3,23.226.231.226,80,56426,TCP,.A..S.,0,0,13,572,1,4
2020-02-25 11:30:21,2020-02-25 11:30:21,0,192.168.250.27,192.168.250.1,59107,53,UDP,......,0,0,2,150,1,0
2020-02-25 11:30:21,2020-02-25 11:30:21,0,192.168.250.1,192.168.250.27,53,59107,UDP,......,0,0,2,468,0,1
2020-02-25 11:30:21,2020-02-25 11:30:21,0,23.226.231.226,217.15.20.194,43228,80,TCP,..P.S.,0,0,2,80,4,1
2020-02-25 11:30:23,2020-02-25 11:30:23,0,192.168.250.50,192.168.250.1,59515,53,UDP,......,0,0,2,146,1,0
2020-02-25 11:30:23,2020-02-25 11:30:23,0,192.168.250.1,192.168.250.50,53,59515,UDP,......,0,0,2,464,0,1
2020-02-25 11:30:23,2020-02-25 11:30:23,0,192.168.250.50,173.194.222.95,59516,443,UDP,......,0,0,14,4328,1,4
2020-02-25 11:30:23,2020-02-25 11:30:23,0,173.194.222.95,217.15.20.194,443,59516,UDP,......,0,0,20,27012,4,1
2020-02-25 11:27:59,2020-02-25 11:30:24,144.26,192.168.250.50,77.111.247.41,51353,443,TCP,....S.,0,0,17,2739,1,4
2020-02-25 11:28:08,2020-02-25 11:30:24,135.24,77.111.247.41,217.15.20.194,443,51353,TCP,.A..S.,0,0,15,1948,4,1
2020-02-25 11:30:24,2020-02-25 11:30:24,0,172.253.5.2,217.15.20.194,35312,53,UDP,......,0,0,2,162,4,1
2020-02-25 11:30:24,2020-02-25 11:30:24,0,192.168.250.247,172.253.5.2,53,35312,UDP,......,0,0,2,344,1,4
2020-02-25 11:30:24,2020-02-25 11:30:24,0,74.125.41.3,217.15.20.194,35120,53,UDP,......,0,0,2,162,4,1
2020-02-25 11:30:24,2020-02-25 11:30:24,0,192.168.250.247,74.125.41.3,53,35120,UDP,......,0,0,2,344,1,4
2020-02-25 11:29:56,2020-02-25 11:30:27,31.58,192.168.250.3,23.226.231.226,80,3275,TCP,.A..S.,0,0,7,308,1,4
2020-02-25 11:29:43,2020-02-25 11:30:28,45.19,77.111.247.41,217.15.20.194,443,61392,TCP,.A..S.,0,0,22,9286,4,1
2020-02-25 11:29:43,2020-02-25 11:30:28,45.22,192.168.250.50,77.111.247.41,61392,443,TCP,....S.,0,0,19,2824,1,4
2020-02-25 11:27:33,2020-02-25 11:30:31,178.03,68.232.34.200,217.15.20.194,443,60484,TCP,.A..S.,0,0,24,11356,4,1
2020-02-25 11:27:33,2020-02-25 11:30:31,178.08,192.168.250.57,68.232.34.200,60484,443,TCP,....S.,0,0,20,2754,1,4
2020-02-25 11:21:44,2020-02-25 11:30:31,526.53,23.226.231.226,217.15.20.194,30844,80,TCP,..P.S.,0,0,3,120,4,1
2020-02-25 11:30:11,2020-02-25 11:30:32,20.23,13.232.66.4,217.15.20.194,443,50301,TCP,.A..S.,0,0,13,4216,4,1
2020-02-25 11:28:30,2020-02-25 11:30:33,122.24,40.114.211.99,217.15.20.194,443,61137,TCP,.A..S.,0,0,17,7609,4,1
2020-02-25 11:30:11,2020-02-25 11:30:33,22.03,192.168.250.27,77.74.181.18,50300,443,TCP,....S.,0,0,10,1334,1,4
2020-02-25 11:30:11,2020-02-25 11:30:33,22.06,77.74.181.18,217.15.20.194,443,50300,TCP,.A..S.,0,0,7,709,4,1
